arrangement,source_page,label,x,y,size,type,confidence
21-35,3,1,36.63,10.03,22D,signal,high
21-35,3,27,25.78,11.18,22D,signal,high
21-35,3,2,41.61,11.24,22D,signal,high
21-35,3,26,21.2,13.48,22D,signal,high
21-35,3,3,46.04,13.78,22D,signal,high
21-35,3,29,33.38,15.59,22D,signal,high
21-35,3,30,39.07,15.72,22D,signal,high
21-35,3,50,28.34,15.72,22D,signal,high
21-35,3,25,16.98,16.62,22D,signal,high
21-35,3,4,50.16,17.17,22D,signal,high
21-35,3,49,23.61,18.13,22D,signal,high
21-35,3,31,43.63,18.31,22D,signal,high
21-35,3,51,31.09,20.18,22D,signal,high
21-35,3,52,36.39,20.24,22D,signal,high
21-35,3,24,13.85,20.42,22D,signal,high
21-35,3,5,53.39,21.33,22D,signal,high
21-35,3,48,19.78,21.39,22D,signal,high
21-35,3,32,47.63,21.64,22D,signal,high
21-35,3,66,26.29,22.6,22D,signal,high
21-35,3,53,40.97,22.9,22D,signal,high
21-35,3,67,30.97,25.68,22D,signal,high
21-35,3,68,36.15,25.68,22D,signal,high
21-35,3,23,11.8,25.73,22D,signal,high
21-35,3,33,49.93,25.73,22D,signal,high
21-35,3,6,55.56,25.73,22D,signal,high
21-35,3,47,16.74,25.73,22D,signal,high
21-35,3,54,44.17,26.1,22D,signal,high
21-35,3,65,22.53,26.1,22D,signal,high
21-35,3,76,26.63,28.76,22D,signal,high
21-35,3,69,39.77,28.76,22D,signal,high
21-35,3,22,10.59,30.93,22D,signal,high
21-35,3,34,51.46,30.93,22D,signal,high
21-35,3,64,20.72,30.93,22D,signal,high
21-35,3,46,15.41,30.93,22D,signal,high
21-35,3,77,33.26,30.93,22D,signal,high
21-35,3,55,46.4,30.93,22D,signal,high
21-35,3,7,56.68,30.93,22D,signal,high
21-35,3,75,25.18,33.72,22D,signal,high
21-35,3,70,41.58,33.72,22D,signal,high
21-35,3,79,30.97,35.47,22D,signal,high
21-35,3,78,36.15,35.47,22D,signal,high
21-35,3,21,10.35,36.3,22D,signal,high
21-35,3,56,46.4,36.3,22D,signal,high
21-35,3,8,56.68,36.31,22D,signal,high
21-35,3,63,20.48,36.31,22D,signal,high
21-35,3,45,15.41,36.31,22D,signal,high
21-35,3,35,51.1,36.31,22D,signal,high
21-35,3,74,26.87,38.67,22D,signal,high
21-35,3,71,39.89,38.67,22D,signal,high
21-35,3,57,44.23,40.91,22D,signal,high
21-35,3,62,22.23,40.97,22D,signal,high
21-35,3,44,16.5,41.41,22D,signal,high
21-35,3,20,11.56,41.41,22D,signal,high
21-35,3,9,55.56,41.41,22D,signal,high
21-35,3,36,49.8,41.41,22D,signal,high
21-35,3,73,30.97,41.76,22D,signal,high
21-35,3,72,36.27,41.76,22D,signal,high
21-35,3,61,25.93,44.72,22D,signal,high
21-35,3,58,40.85,44.77,22D,signal,high
21-35,3,43,19.39,45.44,22D,signal,high
21-35,3,19,13.49,45.8,22D,signal,high
21-35,3,37,47.24,45.8,22D,signal,high
21-35,3,10,53.27,46.29,22D,signal,high
21-35,3,60,30.97,47.04,22D,signal,high
21-35,3,59,36.15,47.25,22D,signal,high
21-35,3,42,23.25,48.8,22D,signal,high
21-35,3,38,42.93,49.07,22D,signal,high
21-35,3,18,16.74,50.31,22D,signal,high
21-35,3,11,49.65,50.7,22D,signal,high
21-35,3,41,28.08,51.33,22D,signal,high
21-35,3,39,38.69,51.57,22D,signal,high
21-35,3,40,33.38,52.54,22D,signal,high
21-35,3,17,20.6,53.33,22D,signal,high
21-35,3,12,45.58,53.9,22D,signal,high
21-35,3,16,25.21,55.72,22D,signal,high
21-35,3,13,41.1,55.98,22D,signal,high
21-35,3,15,30.25,57.07,22D,signal,high
21-35,3,14,35.79,57.13,22D,signal,high
21-39,4,W,28.99,11.77,20,signal,high
21-39,4,A,38.35,11.77,20,signal,high
21-39,4,V,22.5,14.07,20,signal,high
21-39,4,B,44.34,14.07,20,signal,high
21-39,4,X,33.23,17.56,20,signal,high
21-39,4,C,48.96,17.56,20,signal,high
21-39,4,U,17.38,17.93,20,signal,high
21-39,4,j,26.61,19.49,20,signal,high
21-39,4,Y,40.1,19.49,20,signal,high
21-39,4,D,52.83,22.29,20,signal,high
21-39,4,T,14.01,22.42,20,signal,high
21-39,4,Z,45.59,23.41,20,signal,high
21-39,4,i,21.37,23.54,20,signal,high
21-39,4,k,33.36,24.66,20,signal,high
21-39,4,S,11.63,28.02,20,signal,high
21-39,4,E,55.2,28.02,20,signal,high
21-39,4,h,18.63,28.89,20,signal,high
21-39,4,a,48.34,28.89,20,signal,high
21-39,4,m,39.87,30.01,16,signal,high
21-39,4,r,27.39,30.38,16,signal,high
21-39,4,g,18.25,37.61,20,signal,high
21-39,4,b,48.09,37.61,20,signal,high
21-39,4,R,11.51,38.23,20,signal,high
21-39,4,F,54.95,39.35,20,signal,high
21-39,4,n,39.35,39.85,20,signal,high
21-39,4,q,27.24,39.98,20,signal,high
21-39,4,c,45.09,43.22,20,signal,high
21-39,4,f,20.75,43.34,20,signal,high
21-39,4,p,33.36,44.09,20,signal,high
21-39,4,P,13.63,44.21,20,signal,high
21-39,4,G,52.21,44.46,20,signal,high
21-39,4,e,25.74,47.45,20,signal,high
21-39,4,d,40.1,47.57,20,signal,high
21-39,4,H,48.71,48.82,20,signal,high
21-39,4,N,16.88,48.94,20,signal,high
21-39,4,M,21.62,52.93,20,signal,high
21-39,4,J,43.59,52.93,20,signal,high
21-39,4,K,37.73,55.17,20,signal,high
21-39,4,L,27.74,55.3,20,signal,high
21-41,4,A,33.15,11.61,20,signal,high
21-41,4,B,40.15,12.38,20,signal,high
21-41,4,W,26.89,12.55,20,signal,high
21-41,4,V,21.16,15.37,20,signal,high
21-41,4,C,46.04,15.87,20,signal,high
21-41,4,X,33.15,18.26,20,signal,high
21-41,4,j,26.4,19.86,20,signal,high
21-41,4,Y,39.82,19.86,20,signal,high
21-41,4,U,15.92,20.35,20,signal,high
21-41,4,D,50.63,20.52,20,signal,high
21-41,4,Z,45.39,24.67,20,signal,high
21-41,4,i,21.49,25.17,20,signal,high
21-41,4,k,33.15,25.23,20,signal,high
21-41,4,T,13.14,26.33,20,signal,high
21-41,4,E,53.57,26.5,20,signal,high
21-41,4,m,39.17,28.16,20,signal,high
21-41,4,s,27.22,28.32,20,signal,high
21-41,4,h,18.7,31.15,20,signal,high
21-41,4,a,48.01,31.31,20,signal,high
21-41,4,F,54.56,32.81,20,signal,high
21-41,4,t,33.15,33.14,20,signal,high
21-41,4,S,11.66,33.3,20,signal,high
21-41,4,r,25.91,35.13,20,signal,high
21-41,4,n,39.99,35.13,20,signal,high
21-41,4,g,19.52,38.45,20,signal,high
21-41,4,b,46.54,38.62,20,signal,high
21-41,4,G,53.41,39.78,20,signal,high
21-41,4,R,12.97,40.28,20,signal,high
21-41,4,q,29.67,40.45,20,signal,high
21-41,4,p,36.55,40.45,20,signal,high
21-41,4,f,23.13,43.93,20,signal,high
21-41,4,c,42.61,44.76,20,signal,high
21-41,4,H,50.3,45.93,20,signal,high
21-41,4,P,15.76,46.09,20,signal,high
21-41,4,d,36.55,47.92,20,signal,high
21-41,4,e,29.18,48.08,20,signal,high
21-41,4,N,20.51,50.74,20,signal,high
21-41,4,J,45.55,50.74,20,signal,high
21-41,4,M,26.23,54.06,20,signal,high
21-41,4,K,39.66,54.23,20,signal,high
21-41,4,L,33.27,54.89,20,signal,high
21-75,4,D,23.58,23.59,8 Twinax,twinax,high
21-75,4,A,43.46,23.59,8 Twinax,twinax,high
21-75,4,C,23.58,43.37,8 Twinax,twinax,high
21-75,4,B,43.46,43.37,8 Twinax,twinax,high
21-79,4,A,37.17,18.38,22D,signal,high
21-79,4,T,29.83,18.39,22D,signal,high
21-79,4,B,43.65,19.84,22D,signal,high
21-79,4,S,23.32,19.85,22D,signal,high
21-79,4,C,49.34,23.25,22D,signal,high
21-79,4,R,17.65,23.26,22D,signal,high
21-79,4,D,52.96,29.18,22D,signal,high
21-79,4,P,14.04,29.18,22D,signal,high
21-79,4,U,24.85,33.8,8 Coax,coax,high
21-79,4,V,41.19,33.8,8 Coax,coax,high
21-79,4,E,53.0,39.41,22D,signal,high
21-79,4,N,14.03,39.44,22D,signal,high
21-79,4,J,33.33,44.32,22D,signal,high
21-79,4,F,49.33,45.31,22D,signal,high
21-79,4,M,17.65,45.34,22D,signal,high
21-79,4,L,23.35,48.76,22D,signal,high
21-79,4,G,43.65,48.76,22D,signal,high
21-79,4,K,29.8,50.24,22D,signal,high
21-79,4,H,37.19,50.24,22D,signal,high
23-6,4,A,36.94,17.19,8 Twinax,twinax,high
23-6,4,E,17.44,30.63,8 Twinax,twinax,high
23-6,4,B,56.51,30.64,8 Twinax,twinax,high
23-6,4,F,36.94,37.7,8 Twinax,twinax,high
23-6,4,D,24.85,53.6,8 Twinax,twinax,high
23-6,4,C,48.96,54.11,8 Twinax,twinax,high
23-14,4,A,37.89,15.83,12,signal,high
23-14,4,K,26.22,19.83,12,signal,high
23-14,4,B,49.79,19.89,12,signal,high
23-14,4,J,18.82,30.4,12,signal,high
23-14,4,C,57.22,30.43,12,signal,high
23-14,4,P,31.79,30.46,12,signal,high
23-14,4,L,44.08,30.46,12,signal,high
23-14,4,H,18.91,43.31,12,signal,high
23-14,4,D,57.33,43.35,12,signal,high
23-14,4,N,31.86,43.41,12,signal,high
23-14,4,M,44.15,43.41,12,signal,high
23-14,4,G,26.2,54.21,12,signal,high
23-14,4,E,49.71,54.26,12,signal,high
23-14,4,F,37.95,58.03,12,signal,high
23-21,4,A,42.62,16.76,16,signal,high
23-21,4,N,32.07,16.76,16,signal,high
23-21,4,M,18.29,22.29,16,signal,high
23-21,4,B,55.6,22.29,16,signal,high
23-21,4,P,36.75,26.26,16,signal,high
23-21,4,W,27.06,30.7,16,signal,high
23-21,4,R,46.36,30.7,16,signal,high
23-21,4,L,14.29,31.22,16,signal,high
23-21,4,C,58.17,31.62,16,signal,high
23-21,4,X,36.68,36.81,16,signal,high
23-21,4,V,24.47,38.05,16,signal,high
23-21,4,S,48.27,38.22,16,signal,high
23-21,4,K,13.39,39.48,16,signal,high
23-21,4,D,59.6,39.65,16,signal,high
23-21,4,U,29.3,45.49,16,signal,high
23-21,4,T,44.07,45.49,16,signal,high
23-21,4,E,55.23,47.44,16,signal,high
23-21,4,J,17.81,47.61,16,signal,high
23-21,4,H,24.9,56.28,16,signal,high
23-21,4,F,47.71,56.28,16,signal,high
23-21,4,G,36.75,58.02,16,signal,high
23-35,4,35,32.85,9.54,22D,signal,high
23-35,4,56,41.53,10.05,22D,signal,high
23-35,4,46,37.21,11.88,22D,signal,high
23-35,4,67,46.62,13.36,22D,signal,high
23-35,4,25,28.26,13.56,22D,signal,high
23-35,4,16,23.79,14.97,22D,signal,high
23-35,4,36,32.84,15.01,22D,signal,high
23-35,4,57,41.53,15.5,22D,signal,high
23-35,4,77,50.86,15.89,22D,signal,high
23-35,4,47,37.21,17.53,22D,signal,high
23-35,4,8,18.86,17.72,22D,signal,high
23-35,4,68,46.62,18.66,22D,signal,high
23-35,4,26,28.25,18.8,22D,signal,high
23-35,4,86,55.65,19.4,22D,signal,high
23-35,4,17,23.78,20.5,22D,signal,high
23-35,4,37,32.88,20.5,22D,signal,high
23-35,4,58,41.53,20.98,22D,signal,high
23-35,4,78,50.89,21.24,22D,signal,high
23-35,4,9,18.85,23.06,22D,signal,high
23-35,4,48,37.24,23.17,22D,signal,high
23-35,4,69,46.57,23.95,22D,signal,high
23-35,4,27,28.26,24.03,22D,signal,high
23-35,4,87,55.67,24.58,22D,signal,high
23-35,4,38,32.81,25.99,22D,signal,high
23-35,4,18,23.79,26.0,22D,signal,high
23-35,4,59,41.51,26.42,22D,signal,high
23-35,4,79,50.87,26.61,22D,signal,high
23-35,4,94,61.0,27.08,22D,signal,high
23-35,4,1,13.68,27.12,22D,signal,high
23-35,4,10,18.84,28.39,22D,signal,high
23-35,4,49,37.2,28.81,22D,signal,high
23-35,4,70,46.6,29.23,22D,signal,high
23-35,4,28,28.26,29.26,22D,signal,high
23-35,4,88,55.66,29.73,22D,signal,high
23-35,4,95,62.83,30.45,22D,signal,high
23-35,4,2,12.32,30.45,22D,signal,high
23-35,4,39,32.81,31.5,22D,signal,high
23-35,4,19,23.83,31.51,22D,signal,high
23-35,4,60,41.68,31.88,22D,signal,high
23-35,4,80,50.89,32.0,22D,signal,high
23-35,4,11,18.9,33.73,22D,signal,high
23-35,4,50,37.23,34.45,22D,signal,high
23-35,4,29,28.26,34.47,22D,signal,high
23-35,4,71,46.61,34.53,22D,signal,high
23-35,4,3,11.21,34.72,22D,signal,high
23-35,4,96,63.63,34.72,22D,signal,high
23-35,4,89,55.61,34.91,22D,signal,high
23-35,4,40,32.85,36.97,22D,signal,high
23-35,4,20,23.79,37.05,22D,signal,high
23-35,4,97,60.54,37.27,22D,signal,high
23-35,4,4,13.32,37.27,22D,signal,high
23-35,4,61,41.6,37.34,22D,signal,high
23-35,4,81,51.04,37.37,22D,signal,high
23-35,4,12,18.86,39.05,22D,signal,high
23-35,4,30,28.28,39.72,22D,signal,high
23-35,4,5,11.21,39.76,22D,signal,high
23-35,4,72,46.54,39.81,22D,signal,high
23-35,4,51,37.24,40.09,22D,signal,high
23-35,4,90,55.69,40.1,22D,signal,high
23-35,4,98,63.66,40.19,22D,signal,high
23-35,4,41,32.85,42.47,22D,signal,high
23-35,4,21,23.81,42.59,22D,signal,high
23-35,4,82,50.85,42.73,22D,signal,high
23-35,4,62,41.52,42.8,22D,signal,high
23-35,4,6,13.72,43.3,22D,signal,high
23-35,4,99,60.98,43.34,22D,signal,high
23-35,4,13,18.87,44.42,22D,signal,high
23-35,4,31,28.28,44.96,22D,signal,high
23-35,4,73,46.63,45.1,22D,signal,high
23-35,4,91,55.64,45.25,22D,signal,high
23-35,4,52,37.2,45.73,22D,signal,high
23-35,4,100,60.95,47.44,22D,signal,high
23-35,4,7,13.68,47.45,22D,signal,high
23-35,4,42,32.85,47.95,22D,signal,high
23-35,4,22,23.81,48.12,22D,signal,high
23-35,4,83,50.88,48.13,22D,signal,high
23-35,4,63,41.52,48.27,22D,signal,high
23-35,4,14,18.87,49.73,22D,signal,high
23-35,4,32,28.23,50.17,22D,signal,high
23-35,4,74,46.68,50.38,22D,signal,high
23-35,4,92,55.71,50.45,22D,signal,high
23-35,4,53,37.23,51.35,22D,signal,high
23-35,4,43,32.81,53.4,22D,signal,high
23-35,4,84,50.75,53.54,22D,signal,high
23-35,4,23,23.76,53.61,22D,signal,high
23-35,4,64,41.52,53.73,22D,signal,high
23-35,4,15,18.83,55.05,22D,signal,high
23-35,4,33,28.25,55.38,22D,signal,high
23-35,4,93,55.65,55.63,22D,signal,high
23-35,4,75,46.6,55.68,22D,signal,high
23-35,4,54,37.24,57.01,22D,signal,high
23-35,4,85,50.89,58.86,22D,signal,high
23-35,4,44,32.83,58.89,22D,signal,high
23-35,4,24,23.83,59.16,22D,signal,high
23-35,4,65,41.5,59.18,22D,signal,high
23-35,4,34,28.25,60.63,22D,signal,high
23-35,4,76,46.64,60.97,22D,signal,high
23-35,4,55,37.22,62.65,22D,signal,high
23-35,4,45,32.83,64.4,22D,signal,high
23-35,4,66,41.52,64.65,22D,signal,high
23-53,4,A,43.06,12.64,20,signal,high
23-53,4,S,31.47,12.66,20,signal,high
23-53,4,B,48.79,15.47,20,signal,high
23-53,4,R,26.03,15.62,20,signal,high
23-53,4,T,37.52,15.63,20,signal,high
23-53,4,P,20.09,18.11,20,signal,high
23-53,4,C,54.35,18.11,20,signal,high
23-53,4,U,42.97,19.82,20,signal,high
23-53,4,n,31.47,19.86,20,signal,high
23-53,4,V,48.91,22.78,20,signal,high
23-53,4,p,37.35,22.79,20,signal,high
23-53,4,m,25.91,22.93,20,signal,high
23-53,4,W,54.35,25.61,20,signal,high
23-53,4,k,20.09,25.66,20,signal,high
23-53,4,q,43.22,27.0,20,signal,high
23-53,4,AA,31.47,27.06,20,signal,high
23-53,4,N,14.16,27.21,20,signal,high
23-53,4,D,60.29,27.58,20,signal,high
23-53,4,BB,37.47,29.96,20,signal,high
23-53,4,r,48.91,30.1,20,signal,high
23-53,4,z,26.03,30.24,20,signal,high
23-53,4,X,54.35,33.11,20,signal,high
23-53,4,h,20.22,33.21,20,signal,high
23-53,4,CC,43.22,34.19,20,signal,high
23-53,4,GG,31.47,34.26,20,signal,high
23-53,4,HH,37.1,37.13,20,signal,high
23-53,4,M,14.28,37.3,20,signal,high
23-53,4,E,60.42,37.36,20,signal,high
23-53,4,s,48.91,37.41,20,signal,high
23-53,4,y,25.91,37.55,20,signal,high
23-53,4,Y,54.85,40.61,20,signal,high
23-53,4,g,19.97,40.76,20,signal,high
23-53,4,DD,43.1,41.37,20,signal,high
23-53,4,FF,31.72,41.46,20,signal,high
23-53,4,EE,37.35,44.3,20,signal,high
23-53,4,t,48.91,44.72,20,signal,high
23-53,4,x,25.66,44.86,20,signal,high
23-53,4,F,60.29,47.14,20,signal,high
23-53,4,L,14.53,47.39,20,signal,high
23-53,4,Z,54.48,48.11,20,signal,high
23-53,4,f,20.22,48.31,20,signal,high
23-53,4,u,43.1,48.55,20,signal,high
23-53,4,w,31.6,48.66,20,signal,high
23-53,4,v,37.6,51.46,20,signal,high
23-53,4,a,48.91,52.04,20,signal,high
23-53,4,e,25.78,52.16,20,signal,high
23-53,4,G,54.73,55.61,20,signal,high
23-53,4,b,43.22,55.74,20,signal,high
23-53,4,K,20.22,55.86,20,signal,high
23-53,4,d,31.72,55.86,20,signal,high
23-53,4,c,37.22,58.63,20,signal,high
23-53,4,H,48.91,59.35,20,signal,high
23-53,4,J,25.91,59.48,20,signal,high
23-54,4,1,46.88,14.38,22D,signal,high
23-54,4,24,27.68,14.51,22D,signal,high
23-54,4,2,50.16,15.93,22D,signal,high
23-54,4,23,24.39,16.09,22D,signal,high
23-54,4,3,53.33,17.94,22D,signal,high
23-54,4,25,36.93,18.08,12,signal,high
23-54,4,22,21.22,18.1,22D,signal,high
23-54,4,26,47.74,18.67,22D,signal,high
23-54,4,44,26.83,18.83,22D,signal,high
23-54,4,27,50.75,20.67,22D,signal,high
23-54,4,4,56.27,20.82,22D,signal,high
23-54,4,43,23.82,20.84,22D,signal,high
23-54,4,21,18.32,20.97,22D,signal,high
23-54,4,28,53.44,23.48,22D,signal,high
23-54,4,42,21.04,23.56,22D,signal,high
23-54,4,5,57.96,24.24,22D,signal,high
23-54,4,20,16.47,24.28,22D,signal,high
23-54,4,29,55.14,26.81,22D,signal,high
23-54,4,41,19.33,26.87,22D,signal,high
23-54,4,6,59.56,27.53,22D,signal,high
23-54,4,19,14.9,27.57,22D,signal,high
23-54,4,52,25.2,28.8,16,signal,high
23-54,4,45,36.93,28.8,16,signal,high
23-54,4,46,48.74,28.8,16,signal,high
23-54,4,30,57.47,36.96,12,signal,high
23-54,4,40,17.35,36.98,12,signal,high
23-54,4,51,25.2,37.43,16,signal,high
23-54,4,53,36.93,37.43,16,signal,high
23-54,4,47,48.74,37.43,16,signal,high
23-54,4,50,25.2,46.05,16,signal,high
23-54,4,49,36.93,46.05,16,signal,high
23-54,4,48,48.74,46.05,16,signal,high
23-54,4,18,14.91,46.29,22D,signal,high
23-54,4,7,59.82,46.31,22D,signal,high
23-54,4,39,19.36,47.01,22D,signal,high
23-54,4,31,55.39,47.05,22D,signal,high
23-54,4,8,58.24,49.61,22D,signal,high
23-54,4,17,16.5,49.61,22D,signal,high
23-54,4,38,21.07,50.29,22D,signal,high
23-54,4,32,53.65,50.34,22D,signal,high
23-54,4,16,18.35,52.87,22D,signal,high
23-54,4,9,56.4,52.92,22D,signal,high
23-54,4,37,23.85,53.04,22D,signal,high
23-54,4,33,50.87,53.06,22D,signal,high
23-54,4,36,26.85,55.03,22D,signal,high
23-54,4,34,47.86,55.06,22D,signal,high
23-54,4,15,21.27,55.74,22D,signal,high
23-54,4,10,53.45,55.8,22D,signal,high
23-54,4,14,24.43,57.75,22D,signal,high
23-54,4,11,50.29,57.78,22D,signal,high
23-54,4,35,36.93,57.88,12,signal,high
23-54,4,13,27.73,59.32,22D,signal,high
23-54,4,12,47.01,59.36,22D,signal,high
23-55,4,A,43.17,12.7,20,signal,high
23-55,4,U,31.4,12.72,20,signal,high
23-55,4,T,25.57,16.0,20,signal,high
23-55,4,B,49.12,16.01,20,signal,high
23-55,4,V,37.37,16.05,20,signal,high
23-55,4,C,55.07,19.28,20,signal,high
23-55,4,W,43.15,19.28,20,signal,high
23-55,4,n,31.4,19.28,20,signal,high
23-55,4,S,19.67,19.34,20,signal,high
23-55,4,X,49.12,22.67,20,signal,high
23-55,4,p,37.33,22.68,20,signal,high
23-55,4,m,25.55,22.81,20,signal,high
23-55,4,AA,31.4,25.96,20,signal,high
23-55,4,q,43.15,26.03,20,signal,high
23-55,4,Y,55.07,26.04,20,signal,high
23-55,4,k,19.65,26.23,20,signal,high
23-55,4,BB,37.34,29.49,20,signal,high
23-55,4,D,60.58,29.55,20,signal,high
23-55,4,R,13.72,29.55,20,signal,high
23-55,4,z,25.53,29.58,20,signal,high
23-55,4,r,49.14,29.59,20,signal,high
23-55,4,CC,43.22,33.02,20,signal,high
23-55,4,J,19.63,33.12,20,signal,high
23-55,4,Z,55.05,33.13,20,signal,high
23-55,4,GG,31.43,33.25,20,signal,high
23-55,4,P,13.73,36.66,20,signal,high
23-55,4,HH,37.32,36.67,20,signal,high
23-55,4,E,60.62,36.7,20,signal,high
23-55,4,s,49.13,36.71,20,signal,high
23-55,4,y,25.53,36.72,20,signal,high
23-55,4,i,19.57,40.14,20,signal,high
23-55,4,a,55.07,40.15,20,signal,high
23-55,4,FF,31.4,40.15,20,signal,high
23-55,4,DD,43.2,40.18,20,signal,high
23-55,4,EE,37.3,43.35,20,signal,high
23-55,4,t,49.11,43.4,20,signal,high
23-55,4,F,60.6,43.51,20,signal,high
23-55,4,x,25.52,43.53,20,signal,high
23-55,4,N,13.75,43.56,20,signal,high
23-55,4,w,31.41,46.9,20,signal,high
23-55,4,u,43.19,46.96,20,signal,high
23-55,4,h,19.64,46.98,20,signal,high
23-55,4,b,55.08,46.98,20,signal,high
23-55,4,c,49.11,50.17,20,signal,high
23-55,4,g,25.54,50.27,20,signal,high
23-55,4,v,37.31,50.28,20,signal,high
23-55,4,d,43.14,53.64,20,signal,high
23-55,4,f,31.37,53.66,20,signal,high
23-55,4,G,55.08,53.67,20,signal,high
23-55,4,M,19.64,53.74,20,signal,high
23-55,4,L,25.51,57.05,20,signal,high
23-55,4,e,37.3,57.06,20,signal,high
23-55,4,H,49.13,57.06,20,signal,high
23-55,4,K,31.36,60.6,20,signal,high
23-55,4,j,43.17,60.6,20,signal,high
25-4,4,a,37.25,13.89,20,signal,high
25-4,4,A,44.28,13.89,20,signal,high
25-4,4,B,51.13,15.47,20,signal,high
25-4,4,Z,31.1,15.99,20,signal,high
25-4,4,Y,25.31,18.98,20,signal,high
25-4,4,C,57.1,19.51,20,signal,high
25-4,4,b,45.33,20.56,20,signal,high
25-4,4,w,36.02,21.09,20,signal,high
25-4,4,v,29.7,23.02,20,signal,high
25-4,4,c,52.01,23.37,20,signal,high
25-4,4,X,20.04,24.07,20,signal,high
25-4,4,D,62.55,24.43,20,signal,high
25-4,4,GG,37.6,27.76,20,signal,high
25-4,4,x,44.63,27.94,20,signal,high
25-4,4,d,55.87,27.94,20,signal,high
25-4,4,u,25.13,28.11,20,signal,high
25-4,4,W,17.23,30.4,20,signal,high
25-4,4,E,65.53,30.57,20,signal,high
25-4,4,FF,32.59,33.63,16,signal,high
25-4,4,y,49.63,33.63,16,signal,high
25-4,4,HH,40.94,34.26,20,signal,high
25-4,4,t,22.5,34.61,20,signal,high
25-4,4,e,59.3,34.7,20,signal,high
25-4,4,V,14.59,37.07,20,signal,high
25-4,4,F,66.94,37.25,20,signal,high
25-4,4,f,61.49,40.59,20,signal,high
25-4,4,s,20.39,40.94,20,signal,high
25-4,4,EE,27.67,41.36,16,signal,high
25-4,4,LL,36.45,41.54,16,signal,high
25-4,4,JJ,45.59,41.54,16,signal,high
25-4,4,z,54.19,41.54,16,signal,high
25-4,4,U,14.07,44.28,20,signal,high
25-4,4,G,67.29,44.98,20,signal,high
25-4,4,g,59.21,46.91,20,signal,high
25-4,4,r,22.67,47.26,20,signal,high
25-4,4,KK,40.77,47.44,20,signal,high
25-4,4,AA,49.63,49.27,16,signal,high
25-4,4,DD,32.06,49.44,16,signal,high
25-4,4,T,16.35,51.65,20,signal,high
25-4,4,H,65.53,51.83,20,signal,high
25-4,4,q,25.66,52.71,20,signal,high
25-4,4,h,56.22,52.88,20,signal,high
25-4,4,BB,44.28,53.58,20,signal,high
25-4,4,CC,37.25,53.76,20,signal,high
25-4,4,S,19.51,56.92,20,signal,high
25-4,4,J,62.37,57.1,20,signal,high
25-4,4,p,29.7,58.33,20,signal,high
25-4,4,k,51.48,58.33,20,signal,high
25-4,4,m,45.51,60.96,20,signal,high
25-4,4,n,36.02,61.14,20,signal,high
25-4,4,R,24.08,62.19,20,signal,high
25-4,4,K,57.1,62.54,20,signal,high
25-4,4,P,30.23,66.06,20,signal,high
25-4,4,L,50.95,66.58,20,signal,high
25-4,4,N,37.08,67.46,20,signal,high
25-4,4,M,44.45,67.81,20,signal,high
25-7,4,55,43.6,12.71,22D,signal,high
25-7,4,37,37.92,12.71,22D,signal,high
25-7,4,29,32.57,14.05,22D,signal,high
25-7,4,64,49.03,14.06,22D,signal,high
25-7,4,72,54.29,16.17,22D,signal,high
25-7,4,22,27.34,16.18,22D,signal,high
25-7,4,46,40.71,16.87,22D,signal,high
25-7,4,56,45.33,17.24,22D,signal,high
25-7,4,38,36.05,17.24,22D,signal,high
25-7,4,30,31.77,18.76,22D,signal,high
25-7,4,65,49.92,18.76,22D,signal,high
25-7,4,16,22.8,19.62,22D,signal,high
25-7,4,79,59.08,19.62,22D,signal,high
25-7,4,23,27.4,21.05,22D,signal,high
25-7,4,73,54.6,21.28,22D,signal,high
25-7,4,39,37.34,21.94,22D,signal,high
25-7,4,57,44.58,21.94,22D,signal,high
25-7,4,85,62.85,23.66,22D,signal,high
25-7,4,31,32.57,23.66,22D,signal,high
25-7,4,66,49.12,23.66,22D,signal,high
25-7,4,7,18.78,23.66,22D,signal,high
25-7,4,17,23.58,24.32,22D,signal,high
25-7,4,80,58.17,24.32,22D,signal,high
25-7,4,47,40.71,25.47,22D,signal,high
25-7,4,74,53.37,26.03,22D,signal,high
25-7,4,24,28.58,26.16,22D,signal,high
25-7,4,58,45.38,27.02,22D,signal,high
25-7,4,40,36.25,27.02,22D,signal,high
25-7,4,8,20.85,28.33,22D,signal,high
25-7,4,86,60.98,28.33,22D,signal,high
25-7,4,1,15.97,28.75,22D,signal,high
25-7,4,94,65.66,28.75,22D,signal,high
25-7,4,32,31.77,29.71,22D,signal,high
25-7,4,67,50.09,29.71,22D,signal,high
25-7,4,18,25.1,29.8,22D,signal,high
25-7,4,81,56.24,29.8,22D,signal,high
25-7,4,48,40.71,30.46,22D,signal,high
25-7,4,41,36.19,31.98,22D,signal,high
25-7,4,59,45.5,31.98,22D,signal,high
25-7,4,9,18.27,32.69,22D,signal,high
25-7,4,87,63.08,32.86,22D,signal,high
25-7,4,2,13.73,34.04,22D,signal,high
25-7,4,95,67.53,34.04,22D,signal,high
25-7,4,49,40.71,35.68,22D,signal,high
25-7,4,88,64.11,37.54,22D,signal,high
25-7,4,10,17.0,37.54,22D,signal,high
25-7,4,3,12.87,39.51,22D,signal,high
25-7,4,96,68.37,39.71,22D,signal,high
25-7,4,25,28.89,40.71,8 Twinax,twinax,high
25-7,4,75,52.72,40.77,8 Twinax,twinax,high
25-7,4,50,40.71,41.01,22D,signal,high
